date,cases,deaths
2000-01-01,321,10
2000-01-31,377,18
2000-03-01,472,23
2000-03-31,384,8
2000-04-30,574,13
2000-05-30,536,23
2000-06-29,446,9
2000-07-29,609,27
2000-08-28,535,20
2000-09-27,637,26
2000-10-27,639,19
2000-11-26,691,29
2000-12-26,761,19
2001-01-25,579,10
2001-02-24,788,30
2001-03-26,718,30
2001-04-25,798,33
2001-05-25,613,17
2001-06-24,724,15
2001-07-24,824,33
2001-08-23,884,17
2001-09-22,948,31
2001-10-22,992,16
2001-11-21,1014,13
2001-12-21,873,43
2002-01-20,844,34
2002-02-19,1040,41
2002-03-21,1111,35
2002-04-20,908,43
2002-05-20,841,22
2002-06-19,835,16
2002-07-19,1069,21
2002-08-18,1221,27
2002-09-17,900,34
2002-10-17,1088,31
2002-11-16,970,23
2002-12-16,1283,35
2003-01-15,1302,60
2003-02-14,1119,28
2003-03-16,1227,44
2003-04-15,1382,34
2003-05-15,1205,40
2003-06-14,1028,49
2003-07-14,1406,45
2003-08-13,1377,26
2003-09-12,1286,51
2003-10-12,1216,53
2003-11-11,1599,56
2003-12-11,1149,22
2004-01-10,1633,58
2004-02-09,1556,38
2004-03-10,1495,22
2004-04-09,1190,44
2004-05-09,1486,64
2004-06-08,1663,81
2004-07-08,1334,39
2004-08-07,1376,67
2004-09-06,1608,47
2004-10-06,1259,41
2004-11-05,1475,53
2004-12-05,1683,72
2005-01-04,1483,62
2005-02-03,1733,50
2005-03-05,1431,46
2005-04-04,1379,48
2005-05-04,1411,32
2005-06-03,1521,59
2005-07-03,1450,20
2005-08-02,1904,39
2005-09-01,1560,67
2005-10-01,1948,66
2005-10-31,2015,69
2005-11-30,2095,60
2005-12-30,1790,46
2006-01-29,1607,54
2006-02-28,1573,61
2006-03-30,1726,31
2006-04-29,2246,83
2006-05-29,1754,74
2006-06-28,2356,47
2006-07-28,2247,38
2006-08-27,2282,30
2006-09-26,1805,68
2006-10-26,2247,104
2006-11-25,2279,103
2006-12-25,1712,41
2007-01-24,2304,25
2007-02-23,2190,64
2007-03-25,2457,95
2007-04-24,2017,30
2007-05-24,1773,43
2007-06-23,2459,121
2007-07-23,2019,66
2007-08-22,2271,45
2007-09-21,2385,41
2007-10-21,2122,36
2007-11-20,1931,25
2007-12-20,2587,48
2008-01-19,2764,113
2008-02-18,2819,79
2008-03-19,2724,28
2008-04-18,2476,106
2008-05-18,2110,82
2008-06-17,2361,114
2008-07-17,2189,28
2008-08-16,2707,77
2008-09-15,2242,46
2008-10-15,2753,41
2008-11-14,2976,120
2008-12-14,2176,84
2009-01-13,2172,43
2009-02-12,2665,117
2009-03-14,3060,59
2009-04-13,2438,75
2009-05-13,2829,56
2009-06-12,3160,155
2009-07-12,2549,94
2009-08-11,2880,141
2009-09-10,2916,71
2009-10-10,2385,47
2009-11-09,2865,47
2009-12-09,3086,115
2010-01-08,2698,29
2010-02-07,2309,101
2010-03-09,3095,95
2010-04-08,3461,43
2010-05-08,3180,141
2010-06-07,3085,144
2010-07-07,2439,109
2010-08-06,3102,102
2010-09-05,2556,48
2010-10-05,2733,116
2010-11-04,2529,103
2010-12-04,3051,92
2011-01-03,2793,112
2011-02-02,3315,42
2011-03-04,3673,146
2011-04-03,2562,86
2011-05-03,3126,54
2011-06-02,3290,109
2011-07-02,3125,115
2011-08-01,2664,76
2011-08-31,2906,45
2011-09-30,3015,88
2011-10-30,3672,126
2011-11-29,3292,89
2011-12-29,2841,85
2012-01-28,3752,138
2012-02-27,3650,122
2012-03-28,3006,142
2012-04-27,2769,32
2012-05-27,2913,64
2012-06-26,4056,145
2012-07-26,3543,113
2012-08-25,3796,57
2012-09-24,3560,72
2012-10-24,3327,127
2012-11-23,3670,113
2012-12-23,3477,47
2013-01-22,4285,67
2013-02-21,3390,57
2013-03-23,3072,83
2013-04-22,3512,63
2013-05-22,4048,68
2013-06-21,4320,70
2013-07-21,4122,199
2013-08-20,3642,157
2013-09-19,3984,120
2013-10-19,4426,112
2013-11-18,3491,88
2013-12-18,3162,71
2014-01-17,3974,108
2014-02-16,4389,121
2014-03-18,3303,115
2014-04-17,3495,150
2014-05-17,4653,223
2014-06-16,3670,62
2014-07-16,4498,77
2014-08-15,3932,73
2014-09-14,4277,116
2014-10-14,3774,67
2014-11-13,3780,118
2014-12-13,4068,103
2015-01-12,4869,81
2015-02-11,4850,149
2015-03-13,4664,148
2015-04-12,4469,222
2015-05-12,3438,74
2015-06-11,3405,115
2015-07-11,3566,102
2015-08-10,4153,158
2015-09-09,3464,134
2015-10-09,4179,171
2015-11-08,3848,111
2015-12-08,3571,60
2016-01-07,3840,108
2016-02-06,4849,138
2016-03-07,4611,86
2016-04-06,4648,166
2016-05-06,4667,66
2016-06-05,5204,230
2016-07-05,4402,215
2016-08-04,4553,196
2016-09-03,5336,221
2016-10-03,3666,93
2016-11-02,4808,152
2016-12-02,3857,156
2017-01-01,4404,121
2017-01-31,5117,194
2017-03-02,4782,187
2017-04-01,5342,253
2017-05-01,4424,61
2017-05-31,5429,67
2017-06-30,5064,186
2017-07-30,4713,156
2017-08-29,5023,133
2017-09-28,4779,207
2017-10-28,3893,67
2017-11-27,5233,216
2017-12-27,4543,154
2018-01-26,5571,91
2018-02-25,5002,50
