date,cases,deaths
2000-01-01,396,4
2000-01-31,390,6
2000-03-01,375,14
2000-03-31,380,12
2000-04-30,526,19
2000-05-30,508,10
2000-06-29,575,15
2000-07-29,463,20
2000-08-28,665,16
2000-09-27,571,10
2000-10-27,690,32
2000-11-26,743,29
2000-12-26,681,30
2001-01-25,600,11
2001-02-24,758,11
2001-03-26,769,20
2001-04-25,764,18
2001-05-25,774,33
2001-06-24,725,8
2001-07-24,735,19
2001-08-23,789,14
2001-09-22,780,38
2001-10-22,730,8
2001-11-21,949,9
2001-12-21,861,20
2002-01-20,1038,22
2002-02-19,990,30
2002-03-21,1044,51
2002-04-20,841,18
2002-05-20,918,20
2002-06-19,901,36
2002-07-19,842,40
2002-08-18,1001,36
2002-09-17,1227,56
2002-10-17,930,32
2002-11-16,1260,58
2002-12-16,929,42
2003-01-15,953,31
2003-02-14,1117,55
2003-03-16,1183,19
2003-04-15,1326,66
2003-05-15,1100,26
2003-06-14,1105,36
2003-07-14,1108,11
2003-08-13,1404,20
2003-09-12,1084,36
2003-10-12,1191,43
2003-11-11,1406,35
2003-12-11,1412,32
2004-01-10,1218,41
2004-02-09,1258,41
2004-03-10,1678,28
2004-04-09,1686,38
2004-05-09,1508,36
2004-06-08,1253,54
2004-07-08,1391,59
2004-08-07,1768,49
2004-09-06,1712,30
2004-10-06,1656,70
2004-11-05,1720,80
2004-12-05,1895,70
2005-01-04,1703,43
2005-02-03,1687,29
2005-03-05,1374,17
2005-04-04,1524,69
2005-05-04,1523,21
2005-06-03,1588,73
2005-07-03,1639,77
2005-08-02,1443,14
2005-09-01,1959,82
2005-10-01,1775,77
2005-10-31,1542,20
2005-11-30,1633,28
2005-12-30,1739,26
2006-01-29,2192,30
2006-02-28,1807,75
2006-03-30,1677,31
2006-04-29,2083,45
2006-05-29,1667,57
2006-06-28,2132,28
2006-07-28,1725,34
2006-08-27,1643,38
2006-09-26,1703,24
2006-10-26,2050,27
2006-11-25,1989,89
2006-12-25,2293,106
2007-01-24,1788,65
2007-02-23,1773,75
2007-03-25,1964,44
2007-04-24,2352,105
2007-05-24,1941,77
2007-06-23,2646,96
2007-07-23,2345,116
2007-08-22,2037,82
2007-09-21,2144,81
2007-10-21,2180,71
2007-11-20,2310,100
2007-12-20,2806,107
2008-01-19,1924,94
2008-02-18,2411,65
2008-03-19,2089,41
2008-04-18,2137,51
2008-05-18,2382,98
2008-06-17,2934,106
2008-07-17,2950,102
2008-08-16,2295,65
2008-09-15,2559,78
2008-10-15,2124,81
2008-11-14,2538,50
2008-12-14,3084,126
2009-01-13,2494,97
2009-02-12,3132,62
2009-03-14,3058,42
2009-04-13,2817,113
2009-05-13,3013,56
2009-06-12,2845,68
2009-07-12,2465,42
2009-08-11,2545,29
2009-09-10,2864,79
2009-10-10,3230,92
2009-11-09,3131,146
2009-12-09,2867,108
2010-01-08,3243,63
2010-02-07,2791,96
2010-03-09,3242,105
2010-04-08,2381,65
2010-05-08,2677,79
2010-06-07,3501,78
2010-07-07,3489,120
2010-08-06,2955,34
2010-09-05,3568,117
2010-10-05,2933,66
2010-11-04,3163,117
2010-12-04,3361,93
2011-01-03,3238,104
2011-02-02,2494,29
2011-03-04,3386,38
2011-04-03,3416,77
2011-05-03,3765,132
2011-06-02,3109,73
2011-07-02,2787,29
2011-08-01,2683,116
2011-08-31,2850,125
2011-09-30,3247,33
2011-10-30,3802,118
2011-11-29,3440,149
2011-12-29,3025,51
2012-01-28,3909,44
2012-02-27,2719,42
2012-03-28,3564,144
2012-04-27,2804,109
2012-05-27,2902,37
2012-06-26,2859,55
2012-07-26,2918,97
2012-08-25,2965,57
2012-09-24,3817,40
2012-10-24,2862,104
2012-11-23,3943,97
2012-12-23,3461,159
2013-01-22,3802,189
2013-02-21,3114,127
2013-03-23,3369,142
2013-04-22,3897,104
2013-05-22,3747,130
2013-06-21,3370,69
2013-07-21,4307,207
2013-08-20,3727,83
2013-09-19,3101,49
2013-10-19,3026,36
2013-11-18,3175,106
2013-12-18,3841,143
2014-01-17,3370,41
2014-02-16,3919,61
2014-03-18,4165,84
2014-04-17,3262,46
2014-05-17,4641,149
2014-06-16,3209,123
2014-07-16,3538,91
2014-08-15,4432,60
2014-09-14,4244,148
2014-10-14,4295,72
2014-11-13,3333,69
2014-12-13,3389,155
2015-01-12,3963,164
2015-02-11,4371,112
2015-03-13,4063,188
2015-04-12,4153,184
2015-05-12,3581,133
2015-06-11,3444,63
2015-07-11,3396,45
2015-08-10,4800,146
2015-09-09,4130,125
2015-10-09,3634,46
2015-11-08,5059,127
2015-12-08,3476,147
2016-01-07,3585,65
2016-02-06,3492,47
2016-03-07,3524,121
2016-04-06,4932,135
2016-05-06,3558,90
2016-06-05,3784,44
2016-07-05,4774,111
2016-08-04,4449,61
2016-09-03,5027,192
2016-10-03,5360,56
2016-11-02,4439,217
2016-12-02,4458,100
2017-01-01,4690,144
2017-01-31,3980,57
2017-03-02,3818,170
2017-04-01,5271,125
2017-05-01,5393,68
2017-05-31,4895,56
2017-06-30,4897,234
2017-07-30,5042,175
2017-08-29,3836,178
2017-09-28,5399,265
2017-10-28,4817,234
2017-11-27,4859,63
2017-12-27,5407,205
2018-01-26,4215,83
2018-02-25,4007,81
2018-03-27,4597,182
2018-04-26,5647,93
2018-05-26,4919,68
2018-06-25,5682,270
2018-07-25,5237,134
2018-08-24,5457,203
2018-09-23,4945,183
2018-10-23,5631,110
2018-11-22,4396,152
2018-12-22,4967,52
2019-01-21,5584,235
2019-02-20,4628,173
2019-03-22,4255,141
2019-04-21,5076,83
2019-05-21,4933,194
2019-06-20,4398,208
2019-07-20,5504,69
2019-08-19,5721,276
2019-09-18,5036,184
2019-10-18,4925,117
2019-11-17,4700,110
2019-12-17,4536,158
2020-01-16,4887,113
2020-02-15,5447,122
2020-03-16,4590,110
2020-04-15,5588,191
2020-05-15,5256,57
2020-06-14,5199,103
2020-07-14,5825,235
2020-08-13,4348,139
2020-09-12,6401,65
2020-10-12,5773,86
2020-11-11,6183,293
2020-12-11,4526,217
2021-01-10,5483,76
2021-02-09,4715,128
2021-03-11,4471,215
2021-04-10,4526,199
2021-05-10,4481,47
2021-06-09,6428,197
2021-07-09,5765,92
2021-08-08,6190,84
2021-09-07,4601,160
2021-10-07,6800,335
2021-11-06,4920,93
2021-12-06,5066,227
2022-01-05,5998,84
2022-02-04,5817,140
2022-03-06,5459,221
2022-04-05,6134,112
2022-05-05,5971,102
2022-06-04,6927,275
2022-07-04,6444,179
2022-08-03,6996,92
2022-09-02,4899,74
2022-10-02,6565,126
2022-11-01,6761,257
2022-12-01,6980,190
2022-12-31,5718,67
2023-01-30,5059,166
2023-03-01,5321,56
2023-03-31,6234,96
2023-04-30,6696,263
2023-05-30,6411,184
2023-06-29,6000,171
2023-07-29,4965,155
2023-08-28,7144,82
2023-09-27,6643,182
2023-10-27,6818,280
