date,cases,deaths
2000-01-01,370,8
2000-01-31,357,17
2000-03-01,481,5
2000-03-31,419,14
2000-04-30,472,6
2000-05-30,463,19
2000-06-29,509,14
2000-07-29,462,18
2000-08-28,497,11
2000-09-27,506,5
2000-10-27,640,23
2000-11-26,518,18
2000-12-26,745,12
2001-01-25,789,18
2001-02-24,730,28
2001-03-26,743,15
2001-04-25,584,23
2001-05-25,752,8
2001-06-24,766,20
2001-07-24,900,23
2001-08-23,842,17
2001-09-22,663,16
2001-10-22,791,28
2001-11-21,690,11
2001-12-21,802,25
2002-01-20,930,42
2002-02-19,786,32
2002-03-21,808,30
2002-04-20,1028,33
2002-05-20,1111,14
2002-06-19,801,16
2002-07-19,1112,13
2002-08-18,1198,18
2002-09-17,1243,28
2002-10-17,968,17
2002-11-16,1226,53
2002-12-16,1210,38
2003-01-15,973,40
2003-02-14,993,42
2003-03-16,1274,57
2003-04-15,1186,46
2003-05-15,1448,51
2003-06-14,1311,21
2003-07-14,1279,15
2003-08-13,1533,51
2003-09-12,1069,21
2003-10-12,1249,47
2003-11-11,1303,16
2003-12-11,1483,55
2004-01-10,1194,40
2004-02-09,1621,62
2004-03-10,1615,36
2004-04-09,1457,59
2004-05-09,1582,71
2004-06-08,1451,15
2004-07-08,1375,55
2004-08-07,1249,46
2004-09-06,1743,60
2004-10-06,1844,28
2004-11-05,1684,29
2004-12-05,1559,73
2005-01-04,1911,56
2005-02-03,1682,32
2005-03-05,1989,62
2005-04-04,1904,71
2005-05-04,1478,44
2005-06-03,1422,38
2005-07-03,1436,43
2005-08-02,1759,49
2005-09-01,1671,83
2005-10-01,1977,61
2005-10-31,1730,27
2005-11-30,2066,36
2005-12-30,1849,18
2006-01-29,2164,87
2006-02-28,2193,25
2006-03-30,1598,43
2006-04-29,2019,77
2006-05-29,2170,37
2006-06-28,1942,35
2006-07-28,1644,66
2006-08-27,2197,88
2006-09-26,2056,41
2006-10-26,2471,100
2006-11-25,2025,63
2006-12-25,2319,66
2007-01-24,1809,88
2007-02-23,1998,44
2007-03-25,2359,57
2007-04-24,1838,31
2007-05-24,2350,100
2007-06-23,2092,82
2007-07-23,2067,39
2007-08-22,2711,42
2007-09-21,2304,80
2007-10-21,2721,121
2007-11-20,2132,27
2007-12-20,2607,83
2008-01-19,2180,25
2008-02-18,2029,42
2008-03-19,2084,33
2008-04-18,2345,68
2008-05-18,2419,112
2008-06-17,2172,82
2008-07-17,2780,127
2008-08-16,2552,67
2008-09-15,2157,88
2008-10-15,2338,25
2008-11-14,2937,72
2008-12-14,3017,78
2009-01-13,2425,81
2009-02-12,2916,58
2009-03-14,2769,62
2009-04-13,2455,97
2009-05-13,2734,132
2009-06-12,2605,89
2009-07-12,2654,88
2009-08-11,2945,84
2009-09-10,2369,86
2009-10-10,2532,65
2009-11-09,2409,75
2009-12-09,3249,103
2010-01-08,2929,136
2010-02-07,3369,137
2010-03-09,3215,113
2010-04-08,3012,45
2010-05-08,3074,138
2010-06-07,2852,116
2010-07-07,2386,60
2010-08-06,3408,83
2010-09-05,2735,54
2010-10-05,2897,79
2010-11-04,2716,119
2010-12-04,2735,115
2011-01-03,2860,65
2011-02-02,2824,139
2011-03-04,3570,114
2011-04-03,2652,53
2011-05-03,3137,130
2011-06-02,3754,54
2011-07-02,2755,97
2011-08-01,3211,56
2011-08-31,3383,124
2011-09-30,3450,155
2011-10-30,3792,99
2011-11-29,2786,95
2011-12-29,2837,83
2012-01-28,3456,106
2012-02-27,3396,121
2012-03-28,2755,98
2012-04-27,3655,41
2012-05-27,3124,152
2012-06-26,4012,150
2012-07-26,2997,89
2012-08-25,3537,93
2012-09-24,3570,113
2012-10-24,2963,95
2012-11-23,3337,34
2012-12-23,3937,124
2013-01-22,4133,94
2013-02-21,3518,149
2013-03-23,3414,72
2013-04-22,3407,120
2013-05-22,3777,185
2013-06-21,3415,160
2013-07-21,3966,118
2013-08-20,3564,44
2013-09-19,3895,55
2013-10-19,3575,114
2013-11-18,4262,140
2013-12-18,3967,54
2014-01-17,4460,77
2014-02-16,3252,88
2014-03-18,4585,167
2014-04-17,4251,122
2014-05-17,3624,147
2014-06-16,4160,125
2014-07-16,4004,150
2014-08-15,4361,80
2014-09-14,4092,167
2014-10-14,3221,69
2014-11-13,3651,69
2014-12-13,4555,214
2015-01-12,3449,104
2015-02-11,3420,100
2015-03-13,3504,92
2015-04-12,3927,106
2015-05-12,4368,166
2015-06-11,4159,137
2015-07-11,4944,176
2015-08-10,4403,111
2015-09-09,4216,143
2015-10-09,3525,83
2015-11-08,4363,190
2015-12-08,3729,158
2016-01-07,4151,91
2016-02-06,4799,219
2016-03-07,3582,73
2016-04-06,4543,146
2016-05-06,4121,131
2016-06-05,4303,185
2016-07-05,3869,180
2016-08-04,4720,184
2016-09-03,4573,182
2016-10-03,4645,187
2016-11-02,5015,224
2016-12-02,3884,124
2017-01-01,4630,217
2017-01-31,4256,106
2017-03-02,5222,52
2017-04-01,4655,138
2017-05-01,5311,67
2017-05-31,5197,186
2017-06-30,4970,173
2017-07-30,5419,64
2017-08-29,4117,131
2017-09-28,3958,100
2017-10-28,5463,92
2017-11-27,5468,159
2017-12-27,4024,119
2018-01-26,4876,161
2018-02-25,3944,188
2018-03-27,4631,108
2018-04-26,5700,237
2018-05-26,3997,55
2018-06-25,5241,255
2018-07-25,4522,213
2018-08-24,5653,207
2018-09-23,4548,171
2018-10-23,4529,185
2018-11-22,4258,113
2018-12-22,5166,63
2019-01-21,5948,283
2019-02-20,5205,180
2019-03-22,5131,185
2019-04-21,4652,167
2019-05-21,4564,131
2019-06-20,5431,208
2019-07-20,6013,144
2019-08-19,4821,171
2019-09-18,5923,186
2019-10-18,4281,195
2019-11-17,6001,104
2019-12-17,4284,92
2020-01-16,5783,148
2020-02-15,6352,253
2020-03-16,6244,171
2020-04-15,5914,213
2020-05-15,5747,161
2020-06-14,5119,197
2020-07-14,5699,256
2020-08-13,6076,199
2020-09-12,4485,57
2020-10-12,5298,81
2020-11-11,6165,296
2020-12-11,5228,206
2021-01-10,6192,269
2021-02-09,4797,90
2021-03-11,6076,109
2021-04-10,6198,228
2021-05-10,5059,204
2021-06-09,6398,298
2021-07-09,6016,154
2021-08-08,4886,216
2021-09-07,5774,111
2021-10-07,5959,288
2021-11-06,5128,199
2021-12-06,6765,146
2022-01-05,6859,216
2022-02-04,5040,185
2022-03-06,5803,78
2022-04-05,4767,204
2022-05-05,5989,134
2022-06-04,6828,152
2022-07-04,5511,134
2022-08-03,5526,237
2022-09-02,6594,302
2022-10-02,4753,54
2022-11-01,7111,133
2022-12-01,5268,202
2022-12-31,5980,111
2023-01-30,6951,145
2023-03-01,6831,202
2023-03-31,5131,214
2023-04-30,6828,339
2023-05-30,6862,306
2023-06-29,6726,155
2023-07-29,5546,176
2023-08-28,6038,244
2023-09-27,7113,308
2023-10-27,5226,172
2023-11-26,6231,201
2023-12-26,6441,230
2024-01-25,6974,272
2024-02-24,6398,204
2024-03-25,5119,193
2024-04-24,5070,224
2024-05-24,5129,139
2024-06-23,6184,255
2024-07-23,6550,273
